Heartbeat done
Requested the message succesfully
ahrs AHRS2 {roll : 0.00013954738096799701, pitch : -6.630329153267667e-05, yaw : -0.3456842005252838, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001398563472321257, pitch : -6.447876512538642e-05, yaw : -0.34568506479263306, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001399898756062612, pitch : -6.228384154383093e-05, yaw : -0.3456861674785614, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013959247735328972, pitch : -6.312796904239804e-05, yaw : -0.3456839323043823, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014011877647135407, pitch : -6.43395324004814e-05, yaw : -0.3456849157810211, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013990620209369808, pitch : -6.374381337082013e-05, yaw : -0.34568503499031067, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014000873488839716, pitch : -6.187448889249936e-05, yaw : -0.34568163752555847, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014087445742916316, pitch : -6.0527647292474285e-05, yaw : -0.3456840515136719, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014250709500629455, pitch : -5.764388697571121e-05, yaw : -0.3456868827342987, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014082032430451363, pitch : -5.791715739178471e-05, yaw : -0.34568777680397034, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001413347345078364, pitch : -5.6877066526794806e-05, yaw : -0.3456891179084778, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014159177953843027, pitch : -5.438303196569905e-05, yaw : -0.3456885516643524, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014143290172796696, pitch : -5.2638253691839054e-05, yaw : -0.34568750858306885, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014153760275803506, pitch : -5.1847808208549395e-05, yaw : -0.3456863760948181, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014017251669429243, pitch : -5.120233981870115e-05, yaw : -0.3456859588623047, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014151178766041994, pitch : -5.104460069560446e-05, yaw : -0.3456886112689972, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014183414168655872, pitch : -5.341000360203907e-05, yaw : -0.3456893265247345, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000142878940096125, pitch : -5.361068542697467e-05, yaw : -0.3456882834434509, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014301447663456202, pitch : -5.334058005246334e-05, yaw : -0.3456896245479584, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014392493176274002, pitch : -5.3299529099604115e-05, yaw : -0.34569212794303894, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00014402596571017057, pitch : -5.417312422650866e-05, yaw : -0.345693439245224, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001427130337106064, pitch : -5.6715300161158666e-05, yaw : -0.3456957936286926, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001409119722666219, pitch : -5.688074088538997e-05, yaw : -0.34569796919822693, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.000138534524012357, pitch : -5.9969657741021365e-05, yaw : -0.3456973731517792, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013732255320064723, pitch : -6.182614743011072e-05, yaw : -0.34569698572158813, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013605577987618744, pitch : -6.305337592493743e-05, yaw : -0.34569552540779114, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013437301095109433, pitch : -6.530981045216322e-05, yaw : -0.34569552540779114, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013512097939383239, pitch : -6.389062764355913e-05, yaw : -0.3456951975822449, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013588870933745056, pitch : -6.036527702235617e-05, yaw : -0.3456963002681732, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013872685667593032, pitch : -5.876424256712198e-05, yaw : -0.3456978499889374, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013971823500469327, pitch : -5.770840652985498e-05, yaw : -0.3456960916519165, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013944075908511877, pitch : -5.6002012570388615e-05, yaw : -0.3456974923610687, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013983833196107298, pitch : -5.465681169880554e-05, yaw : -0.3456985056400299, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013808235235046595, pitch : -5.149053322384134e-05, yaw : -0.34569987654685974, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013455301814246923, pitch : -4.7450441343244165e-05, yaw : -0.3456983268260956, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013068728731013834, pitch : -4.4375090510584414e-05, yaw : -0.3456985354423523, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012776700896210968, pitch : -4.113386967219412e-05, yaw : -0.3456980586051941, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001260477874893695, pitch : -3.555152943590656e-05, yaw : -0.34569746255874634, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012393321958370507, pitch : -3.2495747291250154e-05, yaw : -0.34569859504699707, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001237285032402724, pitch : -3.3196676668012515e-05, yaw : -0.3456974923610687, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001243741571670398, pitch : -3.146224480587989e-05, yaw : -0.3456959128379822, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012398064427543432, pitch : -3.1389976356877014e-05, yaw : -0.34569698572158813, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012470768706407398, pitch : -3.1423573091160506e-05, yaw : -0.345696359872818, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012329609307926148, pitch : -3.277724317740649e-05, yaw : -0.34569522738456726, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012506337952800095, pitch : -3.2577831007074565e-05, yaw : -0.3456963896751404, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012603960931301117, pitch : -3.22849846270401e-05, yaw : -0.34569570422172546, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012751095346175134, pitch : -3.4507145755924284e-05, yaw : -0.3456958532333374, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012762704864144325, pitch : -3.4524946386227384e-05, yaw : -0.3456965386867523, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012835637608077377, pitch : -3.601395292207599e-05, yaw : -0.34569472074508667, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00012956857972312719, pitch : -3.5880635550711304e-05, yaw : -0.3456938564777374, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013139325892552733, pitch : -3.6422323319129646e-05, yaw : -0.34569433331489563, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.0001344691263511777, pitch : -3.686343916342594e-05, yaw : -0.3456944525241852, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013803843467030674, pitch : -3.9470833144150674e-05, yaw : -0.3456936478614807, altitude : 0.0, lat : 0, lng : 0}
ahrs AHRS2 {roll : 0.00013788690557703376, pitch : -4.0219521906692535e-05, yaw : -0.3456973433494568, altitude : 0.0, lat : 0, lng : 0}
